SAMPLE_ID,MTERFD2,KCNK5,AP3M2,PODXL2,ZNF683,SNRPD3,HAPLN3,NMI,ST7L,HIST1H2BC,C10orf35,BBS2,FAM98A,UFD1L,USF1,PLEKHG3,APOL3,ORC6L,MTAP,DBF4,HIST1H2BN,RNF148,KIF24,CLASS
TCGA-E7-A8O7-01,0.293512348,0.066127947,0.340010983,0.102621957,0.000125176,0.062262193,0.023489159,0.255532704,0.160465218,0.005281058,0.229523316,0.516357348,0.194207771,0.073937526,0.070166752,0.229133656,0.11750285,0.044645615,0.002441491,0.076156902,0.01246963,0.033721518,0.048826127,1
TCGA-E7-A97P-01,0.261662243,0.048951582,0.105769183,0.021154552,0.265726417,0.12790753,0.340734764,0.713475559,0.251247956,0.064344226,0.355442778,0.295609005,0.20809341,0.142288205,0.048207603,0.45956371,0.495099321,0.224778892,0.006480522,0.220018574,0.012758215,0.016100903,0.137943659,1
TCGA-E7-A97Q-01,0.14953364,0.134220748,0.193257243,0.13411276,0.003931343,0.065946232,0.034682639,0.100430834,0.398052169,0.025905621,0.287305092,0.503306252,0.189976425,0.177105276,0.052040602,0.157511658,0.068890235,0.346937356,0.058020794,0.220888501,0.067135794,0,0.114423256,1
TCGA-FD-A3B3-01,0.304551066,0.042170933,0.039253695,0.123423865,0.019903564,0.038141701,0.230994177,0.591302971,0.112932247,0.060360806,0.081500687,0.300126257,0.26234892,0.10077806,0.03590607,0.358306793,0.176498835,0.23782381,0.163296661,0.383355806,0.012802245,0.0302938,0.318157919,1
TCGA-FD-A3B4-01,0.471722886,0.1016303,0.123513498,0.018247594,0.004511821,0.088821995,0.106242977,0.721944141,0.331379038,0.062934131,0.263293907,0.355631998,0.067359666,0.075957226,0.059001454,0.300110283,0.083900931,0.21926233,0.111929572,0.234388281,0.015618071,0.021900241,0.196079886,1
TCGA-FD-A3B5-01,0.148167342,0.059092275,0.044925545,0.129697923,0.003023947,0.072598077,0.029152741,0.183667992,0.112395189,0.121892292,0.266268525,0.431624984,0.24315313,0.077917287,0.02155924,0.247494592,0.032337299,0.122297268,0.002200803,0.244108567,0.107583843,0,0.082102339,1
TCGA-FD-A3B6-01,0.360645281,0.118121333,0.060783627,0.13006673,0.103645317,0.050047642,0.072811731,0.460371333,0.493872314,0.043529463,0.463974596,0.288248895,0.186456571,0.287649428,0.028544252,0.170932498,0.163931571,0.256855528,0.251879265,0.281493979,0.006020498,0.012663143,0.288394271,1
TCGA-FD-A3B7-01,0.40147253,0.043727649,0.078915546,0.055644407,0.006178512,0.173126701,0.133248819,0.288865779,0.340142702,0.110810771,0.199012625,0.281593476,0.197672673,0.145563698,0.025641606,0.681937745,0.166091675,0.097969209,0.130709741,0.277056872,0.041869755,0.006604383,0.155488147,1
TCGA-FD-A3B8-01,0.267507412,0.053999555,0.107802155,0.032711011,0.027283924,0.058326122,0.269579044,0.331940995,0.175290679,0.084030627,0.212820128,0.143613245,0.19235963,0.102172762,0.060818675,0.202411593,0.220090223,0.082130063,0.113666707,0.162678108,0.032697102,0.006447056,0.084824029,1
TCGA-FD-A3N5-01,0.105317325,0.002588684,0.068036312,0,0.005141243,0.095432691,0.165761742,0.343937334,0.172698212,0.022477981,0.463740055,0.403825059,0.142561928,0.048756051,0.011820011,0.464720209,0.052541572,0.146729609,0.187453263,0.376725591,0.035769684,0,0.350339374,1
TCGA-FD-A3N6-01,0.479107363,0.056353975,0.086094245,0.028110036,0.017280718,0.101059692,0.084239247,0.412894091,0.301376709,0.172079703,0.034851061,0.419356879,0.227737497,0.158689975,0.015304816,0.84265605,0.183719909,0.196465462,0.265629559,0.276730848,0.061018217,0,0.203164159,1
